Time, Stove, Ready, Assistant, Remarks
165 ,l(cook=1), i(cook=13) a(cook=20) b(cook=20), k(prep=3),none
166 ,Cleaning, i(cook=13) a(cook=20) b(cook=20), k(prep=2) l(prep=5),l is done cooking|stove is cleaning|
167 ,i(cook=13), a(cook=20) b(cook=20), k(prep=1) l(prep=4),none
168 ,i(cook=12), k(cook=10) a(cook=20) b(cook=20), l(prep=4),k is prepared|
169 ,i(cook=11), k(cook=10) a(cook=20) b(cook=20), l(prep=3),none
170 ,i(cook=10), k(cook=10) a(cook=20) b(cook=20), l(prep=2),none
171 ,i(cook=9), k(cook=10) a(cook=20) b(cook=20), l(prep=1),none
172 ,i(cook=8), l(cook=5) k(cook=10) a(cook=20) b(cook=20),none,l is prepared|
173 ,i(cook=7), l(cook=5) k(cook=10) a(cook=20) b(cook=20),none,none
174 ,i(cook=6), l(cook=5) k(cook=10) a(cook=20) b(cook=20),none,none
175 ,i(cook=5), l(cook=5) k(cook=10) a(cook=20) b(cook=20),none,none
176 ,i(cook=4), l(cook=5) k(cook=10) a(cook=20) b(cook=20),none,none
177 ,i(cook=3), l(cook=5) k(cook=10) a(cook=20) b(cook=20),none,none
178 ,i(cook=2), l(cook=5) k(cook=10) a(cook=20) b(cook=20),none,none
179 ,i(cook=1), l(cook=5) k(cook=10) a(cook=20) b(cook=20),none,none
180 ,Cleaning, l(cook=5) k(cook=10) a(cook=20) b(cook=20),none,i is done|stove is cleaning|
181 ,l(cook=5), k(cook=10) a(cook=20) b(cook=20),none,none
182 ,l(cook=4), k(cook=10) a(cook=20) b(cook=20),none,none
183 ,l(cook=3), k(cook=10) a(cook=20) b(cook=20),none,none
184 ,l(cook=2), k(cook=10) a(cook=20) b(cook=20),none,none
185 ,l(cook=1), k(cook=10) a(cook=20) b(cook=20),none,none
186 ,Cleaning, k(cook=10) a(cook=20) b(cook=20), l(prep=1),l is done cooking|stove is cleaning|
187 ,k(cook=10), l(cook=19) a(cook=20) b(cook=20),none,l is prepared|
188 ,k(cook=9), l(cook=19) a(cook=20) b(cook=20),none,none
189 ,k(cook=8), l(cook=19) a(cook=20) b(cook=20),none,none
190 ,k(cook=7), l(cook=19) a(cook=20) b(cook=20),none,none
191 ,k(cook=6), l(cook=19) a(cook=20) b(cook=20),none,none
192 ,k(cook=5), l(cook=19) a(cook=20) b(cook=20),none,none
193 ,k(cook=4), l(cook=19) a(cook=20) b(cook=20),none,none
194 ,k(cook=3), l(cook=19) a(cook=20) b(cook=20),none,none
195 ,k(cook=2), l(cook=19) a(cook=20) b(cook=20),none,none
196 ,k(cook=1), l(cook=19) a(cook=20) b(cook=20),none,none
197 ,Cleaning, l(cook=19) a(cook=20) b(cook=20), k(prep=6),k is done cooking|stove is cleaning|
198 ,l(cook=19), a(cook=20) b(cook=20), k(prep=5),none
199 ,l(cook=18), a(cook=20) b(cook=20), k(prep=4),none
200 ,l(cook=17), a(cook=20) b(cook=20), k(prep=3),none
201 ,l(cook=16), a(cook=20) b(cook=20), k(prep=2),none
202 ,l(cook=15), a(cook=20) b(cook=20), k(prep=1),none
203 ,l(cook=14), k(cook=2) a(cook=20) b(cook=20),none,k is prepared|
204 ,l(cook=13), k(cook=2) a(cook=20) b(cook=20),none,none
205 ,l(cook=12), k(cook=2) a(cook=20) b(cook=20),none,none
206 ,l(cook=11), k(cook=2) a(cook=20) b(cook=20),none,none
207 ,l(cook=10), k(cook=2) a(cook=20) b(cook=20),none,none
208 ,l(cook=9), k(cook=2) a(cook=20) b(cook=20),none,none
209 ,l(cook=8), k(cook=2) a(cook=20) b(cook=20),none,none
210 ,l(cook=7), k(cook=2) a(cook=20) b(cook=20),none,none
211 ,l(cook=6), k(cook=2) a(cook=20) b(cook=20),none,none
212 ,l(cook=5), k(cook=2) a(cook=20) b(cook=20),none,none
213 ,l(cook=4), k(cook=2) a(cook=20) b(cook=20),none,none
214 ,l(cook=3), k(cook=2) a(cook=20) b(cook=20),none,none
215 ,l(cook=2), k(cook=2) a(cook=20) b(cook=20),none,none
216 ,l(cook=1), k(cook=2) a(cook=20) b(cook=20),none,none
217 ,Cleaning, k(cook=2) a(cook=20) b(cook=20),none,l is done|stove is cleaning|
218 ,k(cook=2), a(cook=20) b(cook=20),none,none
219 ,k(cook=1), a(cook=20) b(cook=20),none,none
220 ,Cleaning, a(cook=20) b(cook=20),none,k is done|stove is cleaning|
221 ,a(cook=20), b(cook=20),none,none
222 ,a(cook=19), b(cook=20),none,none
223 ,a(cook=18), b(cook=20),none,none
224 ,a(cook=17), b(cook=20),none,none
225 ,a(cook=16), b(cook=20),none,none
226 ,a(cook=15), b(cook=20),none,none
227 ,a(cook=14), b(cook=20),none,none
228 ,a(cook=13), b(cook=20),none,none
229 ,a(cook=12), b(cook=20),none,none
230 ,a(cook=11), b(cook=20),none,none
231 ,a(cook=10), b(cook=20),none,none
232 ,a(cook=9), b(cook=20),none,none
233 ,a(cook=8), b(cook=20),none,none
234 ,a(cook=7), b(cook=20),none,none
235 ,a(cook=6), b(cook=20),none,none
236 ,a(cook=5), b(cook=20),none,none
237 ,a(cook=4), b(cook=20),none,none
238 ,a(cook=3), b(cook=20),none,none
239 ,a(cook=2), b(cook=20),none,none
240 ,a(cook=1), b(cook=20),none,none
241 ,Cleaning, b(cook=20), a(prep=3),a is done cooking|stove is cleaning|
242 ,b(cook=20),none, a(prep=2),none
243 ,b(cook=19),none, a(prep=1),none
244 ,b(cook=18), a(cook=16),none,a is prepared|
245 ,b(cook=17), a(cook=16),none,none
246 ,b(cook=16), a(cook=16),none,none
247 ,b(cook=15), a(cook=16),none,none
248 ,b(cook=14), a(cook=16),none,none
249 ,b(cook=13), a(cook=16),none,none
250 ,b(cook=12), a(cook=16),none,none
251 ,b(cook=11), a(cook=16),none,none
252 ,b(cook=10), a(cook=16),none,none
253 ,b(cook=9), a(cook=16),none,none
254 ,b(cook=8), a(cook=16),none,none
255 ,b(cook=7), a(cook=16),none,none
256 ,b(cook=6), a(cook=16),none,none
257 ,b(cook=5), a(cook=16),none,none
258 ,b(cook=4), a(cook=16),none,none
259 ,b(cook=3), a(cook=16),none,none
260 ,b(cook=2), a(cook=16),none,none
261 ,b(cook=1), a(cook=16),none,none
262 ,Cleaning, a(cook=16), b(prep=1),b is done cooking|stove is cleaning|
263 ,a(cook=16), b(cook=20),none,b is prepared|
264 ,a(cook=15), b(cook=20),none,none
265 ,a(cook=14), b(cook=20),none,none
266 ,a(cook=13), b(cook=20),none,none
267 ,a(cook=12), b(cook=20),none,none
268 ,a(cook=11), b(cook=20),none,none
269 ,a(cook=10), b(cook=20),none,none
270 ,a(cook=9), b(cook=20),none,none
271 ,a(cook=8), b(cook=20),none,none
272 ,a(cook=7), b(cook=20),none,none
273 ,a(cook=6), b(cook=20),none,none
274 ,a(cook=5), b(cook=20),none,none
275 ,a(cook=4), b(cook=20),none,none
276 ,a(cook=3), b(cook=20),none,none
277 ,a(cook=2), b(cook=20),none,none
278 ,a(cook=1), b(cook=20),none,none
279 ,Cleaning, b(cook=20), a(prep=13),a is done cooking|stove is cleaning|
280 ,b(cook=20),none, a(prep=12),none
281 ,b(cook=19),none, a(prep=11),none
282 ,b(cook=18),none, a(prep=10),none
283 ,b(cook=17),none, a(prep=9),none
284 ,b(cook=16),none, a(prep=8),none
285 ,b(cook=15),none, a(prep=7),none
286 ,b(cook=14),none, a(prep=6),none
287 ,b(cook=13),none, a(prep=5),none
288 ,b(cook=12),none, a(prep=4),none
289 ,b(cook=11),none, a(prep=3),none
290 ,b(cook=10),none, a(prep=2),none
291 ,b(cook=9),none, a(prep=1),none
292 ,b(cook=8), a(cook=1),none,a is prepared|
293 ,b(cook=7), a(cook=1),none,none
294 ,b(cook=6), a(cook=1),none,none
295 ,b(cook=5), a(cook=1),none,none
296 ,b(cook=4), a(cook=1),none,none
297 ,b(cook=3), a(cook=1),none,none
298 ,b(cook=2), a(cook=1),none,none
299 ,b(cook=1), a(cook=1),none,none
300 ,Cleaning, a(cook=1), b(prep=1),b is done cooking|stove is cleaning|
301 ,a(cook=1), b(cook=20),none,b is prepared|
302 ,Cleaning, b(cook=20), a(prep=2),a is done cooking|stove is cleaning|
303 ,b(cook=20),none, a(prep=1),none
304 ,b(cook=19), a(cook=3),none,a is prepared|
305 ,b(cook=18), a(cook=3),none,none
306 ,b(cook=17), a(cook=3),none,none
307 ,b(cook=16), a(cook=3),none,none
308 ,b(cook=15), a(cook=3),none,none
309 ,b(cook=14), a(cook=3),none,none
310 ,b(cook=13), a(cook=3),none,none
311 ,b(cook=12), a(cook=3),none,none
312 ,b(cook=11), a(cook=3),none,none
313 ,b(cook=10), a(cook=3),none,none
314 ,b(cook=9), a(cook=3),none,none
315 ,b(cook=8), a(cook=3),none,none
316 ,b(cook=7), a(cook=3),none,none
317 ,b(cook=6), a(cook=3),none,none
318 ,b(cook=5), a(cook=3),none,none
319 ,b(cook=4), a(cook=3),none,none
320 ,b(cook=3), a(cook=3),none,none
321 ,b(cook=2), a(cook=3),none,none
322 ,b(cook=1), a(cook=3),none,none
323 ,Cleaning, a(cook=3),none,b is done|stove is cleaning|
324 ,a(cook=3),none,none,none
325 ,a(cook=2),none,none,none
326 ,a(cook=1),none,none,none


,,Time Completed, 327
,,Stove Utilization, 278/327 = 85.02%
,,Job, Waiting time, Priority
,,[h], 4, 2
,,[g], 5, 7
,,[j], 1, 9
,,[d], 29, 10
,,[e], 38, 1
,,[f], 39, 10
,,[c], 8, 3
,,[i], 88, 8
,,[l], 85, 10
,,[k], 97, 1
,,[b], 227, 3
,,[a], 252, 9
,,Total:, 873,Avg. Waiting Time 72.75, Weighted average wait time, 6.16
,,Weighted average priority difference, 0.64
