Generation 0 average fitness: 41.58701878059255
Generation 1 average fitness: 43.06256095814928
Warning: generation 2 has lower average fitness
Generation 2 average fitness: 42.952513760580835
Generation 3 average fitness: 43.09923365675893
Generation 4 average fitness: 43.547579588956
Generation 5 average fitness: 44.03943627412925
Warning: generation 6 has lower average fitness
Generation 6 average fitness: 43.91949945963551
Generation 7 average fitness: 44.379390764932516
Warning: generation 8 has lower average fitness
Generation 8 average fitness: 43.69155292192234
Generation 9 average fitness: 43.83677900233817
Generation 10 average fitness: 43.914743087093655
Generation 11 average fitness: 44.86078395575945
Warning: generation 12 has lower average fitness
Generation 12 average fitness: 43.18424162517948
Generation 13 average fitness: 45.34969278143724
Generation 14 average fitness: 45.40958279937785
Generation 15 average fitness: 46.311497599290504
Warning: generation 16 has lower average fitness
Generation 16 average fitness: 44.27670892408859
Generation 17 average fitness: 45.19989967260312
Warning: generation 18 has lower average fitness
Generation 18 average fitness: 44.73757260902792
Warning: generation 19 has lower average fitness
Generation 19 average fitness: 44.27059120604778
Warning: generation 20 has lower average fitness
Generation 20 average fitness: 44.24175609556526
Generation 21 average fitness: 45.943272680452544
Warning: generation 22 has lower average fitness
Generation 22 average fitness: 45.24816232926096
Generation 23 average fitness: 45.24899139685275
Generation 24 average fitness: 46.647159156973046
Time, Stove, Ready, Assistant, Remarks
170 ,e(cook=8), i(cook=9), d(prep=1),none
171 ,e(cook=7), i(cook=9),none,d is done|
172 ,e(cook=6), i(cook=9),none,none
173 ,e(cook=5), i(cook=9),none,none
174 ,e(cook=4), i(cook=9),none,none
175 ,e(cook=3), i(cook=9),none,none
176 ,e(cook=2), i(cook=9),none,none
177 ,e(cook=1), i(cook=9),none,none
178 ,Cleaning, i(cook=9), e(prep=2),e is done cooking|stove is cleaning|
179 ,i(cook=9),none, e(prep=1),none
180 ,i(cook=8), e(cook=7),none,e is prepared|
181 ,i(cook=7), e(cook=7),none,none
182 ,i(cook=6), e(cook=7),none,none
183 ,i(cook=5), e(cook=7),none,none
184 ,i(cook=4), e(cook=7),none,none
185 ,i(cook=3), e(cook=7),none,none
186 ,i(cook=2), e(cook=7),none,none
187 ,i(cook=1), e(cook=7),none,none
188 ,Cleaning, e(cook=7), i(prep=1),i is done cooking|stove is cleaning|
189 ,e(cook=7), i(cook=10),none,i is prepared|
190 ,e(cook=6), i(cook=10),none,none
191 ,e(cook=5), i(cook=10),none,none
192 ,e(cook=4), i(cook=10),none,none
193 ,e(cook=3), i(cook=10),none,none
194 ,e(cook=2), i(cook=10),none,none
195 ,e(cook=1), i(cook=10),none,none
196 ,Cleaning, i(cook=10), e(prep=9),e is done cooking|stove is cleaning|
